trackId                  ,name                                   ,danceability ,energy ,key ,loudness ,mode ,speechiness ,acousticness ,instrumentalness ,liveness ,valence ,tempo   ,type             ,id                       ,uri                                    ,track_href                                                 ,analysis_url                                                       ,duration_ms ,time_signature
"3brmDf3GLNsiWxJobTCn4a" ,"Never Let Me Go"                      ,       0.459 ,0.727  ,  9 ,-3.24    ,   1 ,     0.0359 ,    0.297    ,      0.0000103  ,  0.38   , 0.263  ,145.093 ,"audio_features" ,"3brmDf3GLNsiWxJobTCn4a" ,"spotify:track:3brmDf3GLNsiWxJobTCn4a" ,"https://api.spotify.com/v1/tracks/3brmDf3GLNsiWxJobTCn4a" ,"https://api.spotify.com/v1/audio-analysis/3brmDf3GLNsiWxJobTCn4a" ,     271377 ,             4
"3CN9WtSBqCI6TXne9XNomb" ,"Gloria"                               ,       0.523 ,0.714  , 11 ,-6.021   ,   1 ,     0.0367 ,    0.658    ,      0.0000052  ,  0.0785 , 0.659  , 78.211 ,"audio_features" ,"3CN9WtSBqCI6TXne9XNomb" ,"spotify:track:3CN9WtSBqCI6TXne9XNomb" ,"https://api.spotify.com/v1/tracks/3CN9WtSBqCI6TXne9XNomb" ,"https://api.spotify.com/v1/audio-analysis/3CN9WtSBqCI6TXne9XNomb" ,     216120 ,             4
"3CRJORXJpagbUMYZuj2lwX" ,"Jubilee Road"                         ,       0.457 ,0.261  ,  6 ,-8.913   ,   1 ,     0.0485 ,    0.716    ,      0          ,  0.0829 , 0.185  , 80.117 ,"audio_features" ,"3CRJORXJpagbUMYZuj2lwX" ,"spotify:track:3CRJORXJpagbUMYZuj2lwX" ,"https://api.spotify.com/v1/tracks/3CRJORXJpagbUMYZuj2lwX" ,"https://api.spotify.com/v1/audio-analysis/3CRJORXJpagbUMYZuj2lwX" ,     313259 ,             4
"3dEFa9KjOLEZl980ctEEv1" ,"Ship To Wreck"                        ,       0.564 ,0.923  ,  9 ,-3.843   ,   0 ,     0.0325 ,    0.00147  ,      0          ,  0.277  , 0.587  ,141.991 ,"audio_features" ,"3dEFa9KjOLEZl980ctEEv1" ,"spotify:track:3dEFa9KjOLEZl980ctEEv1" ,"https://api.spotify.com/v1/tracks/3dEFa9KjOLEZl980ctEEv1" ,"https://api.spotify.com/v1/audio-analysis/3dEFa9KjOLEZl980ctEEv1" ,     234526 ,             4
"3pVfjLi9msLtXG1h5yNn4d" ,"Dark in the City"                     ,       0.635 ,0.642  ,  7 ,-7.789   ,   1 ,     0.0356 ,    0.158    ,      0.000064   ,  0.223  , 0.39   , 93.245 ,"audio_features" ,"3pVfjLi9msLtXG1h5yNn4d" ,"spotify:track:3pVfjLi9msLtXG1h5yNn4d" ,"https://api.spotify.com/v1/tracks/3pVfjLi9msLtXG1h5yNn4d" ,"https://api.spotify.com/v1/audio-analysis/3pVfjLi9msLtXG1h5yNn4d" ,     212269 ,             4
"3SktMqZmo3M9zbB7oKMIF7" ,"Gravity"                              ,       0.753 ,0.326  ,  7 ,-9.883   ,   1 ,     0.0342 ,    0.731    ,      0.00131    ,  0.24   , 0.237  ,123.799 ,"audio_features" ,"3SktMqZmo3M9zbB7oKMIF7" ,"spotify:track:3SktMqZmo3M9zbB7oKMIF7" ,"https://api.spotify.com/v1/tracks/3SktMqZmo3M9zbB7oKMIF7" ,"https://api.spotify.com/v1/audio-analysis/3SktMqZmo3M9zbB7oKMIF7" ,     245827 ,             3
"3sz2roCk5tyGeMhHftbJye" ,"All Night"                            ,       0.579 ,0.34   ,  4 ,-11.059  ,   1 ,     0.048  ,    0.888    ,      0.00492    ,  0.43   , 0.364  , 92.975 ,"audio_features" ,"3sz2roCk5tyGeMhHftbJye" ,"spotify:track:3sz2roCk5tyGeMhHftbJye" ,"https://api.spotify.com/v1/tracks/3sz2roCk5tyGeMhHftbJye" ,"https://api.spotify.com/v1/audio-analysis/3sz2roCk5tyGeMhHftbJye" ,     202773 ,             4
"3tbJoFjD9ea2TRMsbf0z0H" ,"Stay the Winter"                      ,       0.723 ,0.639  ,  7 ,-7.422   ,   1 ,     0.0412 ,    0.112    ,      0          ,  0.517  , 0.686  ,120.028 ,"audio_features" ,"3tbJoFjD9ea2TRMsbf0z0H" ,"spotify:track:3tbJoFjD9ea2TRMsbf0z0H" ,"https://api.spotify.com/v1/tracks/3tbJoFjD9ea2TRMsbf0z0H" ,"https://api.spotify.com/v1/audio-analysis/3tbJoFjD9ea2TRMsbf0z0H" ,     179849 ,             4
"3tbJoFjD9ea2TRMsbf0z0H" ,"Stay the Winter"                      ,       0.723 ,0.639  ,  7 ,-7.422   ,   1 ,     0.0412 ,    0.112    ,      0          ,  0.517  , 0.686  ,120.028 ,"audio_features" ,"3tbJoFjD9ea2TRMsbf0z0H" ,"spotify:track:3tbJoFjD9ea2TRMsbf0z0H" ,"https://api.spotify.com/v1/tracks/3tbJoFjD9ea2TRMsbf0z0H" ,"https://api.spotify.com/v1/audio-analysis/3tbJoFjD9ea2TRMsbf0z0H" ,     179849 ,             4
"3up9PVg6BatOruFRxi4oLY" ,"Rich"                                 ,       0.646 ,0.6    , 10 ,-9.06    ,   1 ,     0.031  ,    0.492    ,      0.000179   ,  0.196  , 0.667  ,103.987 ,"audio_features" ,"3up9PVg6BatOruFRxi4oLY" ,"spotify:track:3up9PVg6BatOruFRxi4oLY" ,"https://api.spotify.com/v1/tracks/3up9PVg6BatOruFRxi4oLY" ,"https://api.spotify.com/v1/audio-analysis/3up9PVg6BatOruFRxi4oLY" ,     184120 ,             4
"3uVEtIOcyE7rGAqcWJt95h" ,"Bruises"                              ,       0.746 ,0.322  ,  1 ,-7.922   ,   0 ,     0.0798 ,    0.944    ,      0          ,  0.197  , 0.321  ,110.774 ,"audio_features" ,"3uVEtIOcyE7rGAqcWJt95h" ,"spotify:track:3uVEtIOcyE7rGAqcWJt95h" ,"https://api.spotify.com/v1/tracks/3uVEtIOcyE7rGAqcWJt95h" ,"https://api.spotify.com/v1/audio-analysis/3uVEtIOcyE7rGAqcWJt95h" ,     220200 ,             4
"3yXeVwlkiat9lJmU3gWNU3" ,"Interlude"                            ,       0.418 ,0.285  ,  2 ,-12.143  ,   1 ,     0.03   ,    0.628    ,      0.38       ,  0.34   , 0.21   ,127.332 ,"audio_features" ,"3yXeVwlkiat9lJmU3gWNU3" ,"spotify:track:3yXeVwlkiat9lJmU3gWNU3" ,"https://api.spotify.com/v1/tracks/3yXeVwlkiat9lJmU3gWNU3" ,"https://api.spotify.com/v1/audio-analysis/3yXeVwlkiat9lJmU3gWNU3" ,     138467 ,             4
"3ZUPnClu1aKF2Fmt7cFsLP" ,"Mess We Made"                         ,       0.482 ,0.58   ,  6 ,-6.535   ,   0 ,     0.0354 ,    0.398    ,      0.0757     ,  0.106  , 0.299  ,110.633 ,"audio_features" ,"3ZUPnClu1aKF2Fmt7cFsLP" ,"spotify:track:3ZUPnClu1aKF2Fmt7cFsLP" ,"https://api.spotify.com/v1/tracks/3ZUPnClu1aKF2Fmt7cFsLP" ,"https://api.spotify.com/v1/audio-analysis/3ZUPnClu1aKF2Fmt7cFsLP" ,     312533 ,             5
