index,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
116,37kLxS3IntmCnoE4a5XMKy,Charlie Finch,"Growing Up",0.756,0.568,11,-7.847,1,0.0265,0.212,0.0000355,0.181,0.667,114.976,189931,4
117,6TpyujRefwsflWFXbmjVpj,Luke Combs,"Doin' This",0.588,0.55,1,-5.878,1,0.0269,0.166,0.00000867,0.11,0.39,115.01,254173,4
118,1jzo5QmpKa8eLSF3NOJzPe,Birdtalker,"Heavy",0.614,0.549,5,-6.986,1,0.0516,0.286,0.00000264,0.142,0.258,77.926,264151,4
119,4gSBbAnct4qt5XbkCbTdnc,Passenger,"When We Were Young",0.538,0.545,4,-6.887,1,0.0261,0.247,0.0000584,0.189,0.429,139.423,280415,4
120,7x46YkKAwp3yZpaa72n5Mu,The Lumineers,"Stubborn Love",0.596,0.544,0,-11.759,1,0.0362,0.604,0.0176,0.262,0.262,115.023,279000,4
121,4ewpVpVKmIpA6HaKqUnt5L,Alex Aiono,"Good Morning",0.422,0.543,2,-7.299,1,0.171,0.715,0,0.1,0.573,172.6,212760,4
122,27BrerRuQ8H2nqXuiKtBah,ISLAND,"The Day I Die",0.643,0.542,6,-6.11,0,0.0291,0.0363,0.000183,0.0553,0.64,132.164,202960,4
123,7fsDd3jNcfOnRIJ17kPkbo,Justin Bieber,"Anyone",0.686,0.538,2,-8.026,1,0.0345,0.181,0.00000313,0.113,0.584,115.884,190779,4
124,2b2uqeIFEPZAjKtUdfGoTD,Ben Rector,"Steady Love (Live)",0.575,0.537,11,-6.584,1,0.0754,0.682,0.00285,0.884,0.444,153.88,346489,4
125,6vfmmwCPsz5xNLjKIlzwOF,Ben Rector,"Heroes",0.566,0.535,1,-7.377,1,0.0313,0.207,0.00000173,0.0657,0.273,124.848,271440,4
126,6c6t0aQOtVUZTxRQTlEkZQ,Owl City,"If My Heart Was a House",0.532,0.535,3,-8.599,1,0.0269,0.00451,0,0.0665,0.213,124.981,245720,3
127,0v8iaQnFPT8qkicB880pAr,Wild Rivers,"Weatherman",0.734,0.534,5,-9.467,1,0.0381,0.266,0.000432,0.11,0.504,122.055,185947,4
128,3QEOUIgfTjcLR2eyUSujBd,The Script,"I Want It All - Acoustic",0.529,0.534,8,-5.55,1,0.0274,0.342,0,0.151,0.477,160.085,183213,4
129,3qGRToYhVCGj41pKzXqua8,Wild Rivers,"I Won't Be Back",0.632,0.531,2,-6.018,1,0.036,0.0713,0,0.4,0.537,79.999,199413,4
130,6Nbvi82Fs1sUOTkGYog85E,Dustin Tebbutt,"Harvest",0.6,0.531,11,-12.74,0,0.0367,0.333,0.562,0.0925,0.195,86.997,278027,4
131,6YfSuIS9WW0JClHpJpULxM,Morningsiders,"Nightingale",0.308,0.529,9,-6.188,1,0.0274,0.0392,0.0000401,0.059,0.345,164.253,235381,4
132,42bbDWZ8WmXTH7PkYAlGLu,George Ezra,"Hold My Girl",0.614,0.527,10,-6.374,1,0.0302,0.597,0,0.11,0.354,121.941,211764,4
133,1bzymgL9lQBAYNhJIXlNNG,The Paper Kites,"Woodland",0.545,0.527,0,-9.497,1,0.0353,0.536,0.00014,0.156,0.37,89.064,231587,4
134,5htghP7rThIe6oXBN6uYI5,Drew Holcomb & The Neighbors,"Find Your People",0.678,0.526,5,-7.292,1,0.0281,0.329,0,0.302,0.492,87.005,194093,4
135,4fp615OQ4jgd3Xf55Uf9Cs,Passenger,"Somebody's Love",0.436,0.526,2,-8.183,0,0.0313,0.236,0.00127,0.132,0.36,134.502,323873,4
136,5Ny6HXUK1LMW3opDVnQCvi,Lewis Capaldi,"Grace",0.407,0.526,4,-6.61,1,0.0785,0.478,0,0.145,0.484,207.859,183960,4
137,14uhiVl5NwPDCmlRUgo4l6,Jordy Searcy,"Love & War in Your Twenties",0.736,0.525,2,-9.694,1,0.0296,0.22,0.00153,0.127,0.529,102.986,250547,4
138,3GKrqEZ0fZpVnD1A0BeAK9,Passenger,"Scare Away the Dark",0.442,0.523,7,-8.002,1,0.0324,0.0478,0.00000335,0.16,0.374,69.607,278594,4
139,3hVrC8e2aBK2suo7EMMXLj,The Lumineers,"Submarines",0.669,0.522,7,-9.933,1,0.0469,0.916,0.107,0.302,0.6,190.169,163240,3
140,5WfRUXwgd5KWRPG9bAmWst,ISLAND,"Lyra",0.39,0.521,4,-6.917,1,0.031,0.54,0.01,0.104,0.167,143.821,281801,3
141,3BAwNf0KLSp7SOnca0Q4j7,Neon Trees,"animal - revisited version",0.581,0.518,5,-7.721,1,0.0265,0.219,0,0.0957,0.494,143.982,217971,4
142,7ylOCfpjsuxM6w7W7b3W91,Kygo,"I See You (feat. Billy Raffoul)",0.68,0.513,4,-9.914,0,0.0365,0.483,0.0000705,0.0975,0.272,106.953,228707,4
143,59rK5CDvt3z9BMadJlRjcL,Emily James,"that was then",0.66,0.51,1,-8.956,1,0.059,0.655,0.00000268,0.16,0.325,77.999,174221,4
144,7nYyorbIVpbo1PaowBE5c6,The National Parks,"Waiting for Lightning",0.574,0.509,9,-7.546,1,0.0268,0.0848,0.0000858,0.0804,0.291,85.959,219299,4
145,4rypm0OAHbU1IXLA8atiGE,Stephen Sanchez,"Hey Girl",0.389,0.505,6,-7.777,0,0.037,0.538,0.00403,0.216,0.244,121.775,185907,4
146,74iZuPGwyL33VlTr6jTnab,Lady Gaga,"Always Remember Us This Way",0.549,0.502,0,-5.972,1,0.0405,0.299,0,0.764,0.291,129.842,210200,4
147,5igrAKYGCpB81myxGig5Mw,Birdtalker,"Blue Healer",0.595,0.5,4,-9.495,1,0.0354,0.437,0.251,0.202,0.3,144.03,318829,4
148,6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,"Until I Found You",0.346,0.5,10,-6.097,1,0.0388,0.757,0,0.189,0.191,202.466,176667,3
149,0THzW6DgTrtGpl69aWFAvS,The Paper Kites,"Renegade",0.693,0.499,3,-8.924,0,0.0291,0.137,0.182,0.104,0.832,113.995,235160,4
150,05u81UgU27g8uL5twJ7ABz,Tom Walker,"Fly Away With Me",0.421,0.499,5,-8.869,1,0.173,0.61,0,0.0875,0.297,78.621,211733,4
151,04JhvPreqxWlAV5SdK4mNo,The Paper Kites,"Don't Keep Driving",0.35,0.499,6,-6.832,1,0.0289,0.352,0.758,0.127,0.115,113.618,320827,4
152,49tW2u59iX2z2thHLkYYo5,The National Parks,"Time",0.537,0.488,7,-9.492,1,0.0443,0.0436,0.000187,0.111,0.583,84.228,217967,4
153,2G7sptnwIKiPWrbKTlLhWQ,Ben Howard,"Only Love",0.545,0.485,8,-9.941,1,0.151,0.3,0.00137,0.119,0.341,80.401,249173,4
154,5SQkpKQP4woq7R4kG53HAy,Ben Rector,"Wonderful World",0.808,0.484,5,-7.495,1,0.0892,0.462,0,0.264,0.481,149.055,165801,4
155,3E3SMSm6FMRA9gkpaFRFrC,Stephen Sanchez,"Love Life",0.557,0.483,8,-6.46,1,0.0265,0.658,0,0.165,0.387,135.064,218533,4
156,52BtapS0Wy7LM8R6QvJRpp,Wild Rivers,"Amsterdam",0.637,0.482,1,-9.427,1,0.0284,0.217,0.0000969,0.0904,0.593,140.091,213920,4
